Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Extra
79,159.605687194,46.9306351395,17.8468713376,36.2856842766,272.416273405,19.9205892481,210,74,128,0.0237598579233,"[35, 'Combined', 857314, array([-4.89113591,  0.8667841 , -0.2978541 ]), array([-0.98682913,  0.15078749, -0.05857818])]"
78,158.525737181,48.1424176996,18.6756197299,34.4033640853,273.603300574,20.7931790546,210,74,126,0.0237664680813,"[35, 'Combined', 857313, array([-4.90352873,  0.79259127, -0.40205642]), array([-0.98682913,  0.15078749, -0.05857818])]"
77,155.348879813,49.3245817903,17.4678366839,32.5157018509,272.82653638,21.6295450867,208,74,124,0.0237699742794,"[35, 'Combined', 849212, array([-4.93405262,  0.6391185 , -0.25802384]), array([-0.98682913,  0.15078749, -0.05857818])]"
14,65.1122908637,65.3998791548,182.456991785,11.8764974873,277.139296734,21.2139465319,28,26,118,0.0237852893977,"[35, 'Combined', 115889, array([-4.89783818,  0.69913047, -0.39801938]), array([-0.98682913,  0.15078749, -0.05857818])]"
113,158.857186111,47.8101384403,17.5155133986,35.2912988913,272.565902722,20.0248089261,320,40,26,0.0238321213189,"[35, 'Combined', 1299703, array([-4.89187299,  0.8660964 , -0.30935889]), array([-0.98682913,  0.15078749, -0.05857818])]"
122,143.895057966,58.097196539,13.88503763,21.8126247766,274.544531229,22.0737070606,330,30,42,0.023887462821,"[35, 'Combined', 1339311, array([-4.92507212,  0.67013253, -0.37859532]), array([-0.98682913,  0.15078749, -0.05857818])]"
135,120.759539238,75.0567626654,6.21830187459,6.32548494191,274.695421745,13.4819695233,356,32,78,0.00207071903795,"[55, 'Combined', 1444809, array([-4.8456533 ,  0.75069238, -0.28722559]), array([-0.98682913,  0.15078749, -0.05857818])]"
85,155.559360428,63.2677080558,9.10293945393,22.7716095143,273.430697966,13.249091618,202,62,116,0.00305626495901,"[55, 'Combined', 823828, array([-4.8496938 ,  0.7554779 , -0.28332001]), array([-0.98682913,  0.15078749, -0.05857818])]"
28,19.3836427832,48.7300532079,177.040962261,39.0665441063,276.312225394,11.2262269279,44,48,148,0.00471252982194,"[55, 'Combined', 182684, array([-4.82225124,  0.7304216 , -0.26402783]), array([-0.98682913,  0.15078749, -0.05857818])]"
86,161.156392768,58.0972747055,10.6810432498,28.4432629785,273.360087382,13.2379769472,206,64,122,0.00484894111059,"[55, 'Combined', 840211, array([-4.85449269,  0.73028153, -0.30907262]), array([-0.98682913,  0.15078749, -0.05857818])]"
95,173.348091544,36.4721012727,17.2241425761,51.0483774193,272.237468145,11.8073260424,218,74,144,0.00536807122573,"[55, 'Combined', 889722, array([-4.85012224,  0.72216792, -0.26913541]), array([-0.98682913,  0.15078749, -0.05857818])]"
81,141.57266171,70.4249701091,7.84095167394,13.810354216,274.432316787,13.5973274244,196,60,106,0.00568605208802,"[55, 'Combined', 799343, array([-4.85021682,  0.73522029, -0.31524093]), array([-0.98682913,  0.15078749, -0.05857818])]"
34,14.2484714892,37.9526654765,173.848740896,50.234628365,276.241591701,10.1256782091,48,56,158,0.00618140558723,"[55, 'Combined', 199609, array([-4.80435126,  0.76403575, -0.27980127]), array([-0.98682913,  0.15078749, -0.05857818])]"
112,183.29498857,1.44496779746,85.060288534,80.0117279461,273.546738232,9.88107550704,318,82,-6,0.00628811233556,"[55, 'Combined', 1295367, array([-4.83040409,  0.70763554, -0.28017373]), array([-0.98682913,  0.15078749, -0.05857818])]"
62,20.4131191638,50.1440974678,178.114110736,37.6822017116,276.826540083,11.0955724793,158,66,48,0.00670781521689,"[55, 'Combined', 645954, array([-4.81201775,  0.74289167, -0.31761585]), array([-0.98682913,  0.15078749, -0.05857818])]"
36,182.177358667,7.02188990424,57.3241563086,77.8368862131,273.406741084,9.881085086,48,88,-168,0.00745079226169,"[55, 'Combined', 202326, array([-4.82550317,  0.72887554, -0.32189528]), array([-0.98682913,  0.15078749, -0.05857818])]"
119,170.315523854,43.7865929626,14.8096018926,43.5127664998,272.62206745,12.5366863849,322,50,26,0.00756394142847,"[55, 'Combined', 1308703, array([-4.85766879,  0.70554692, -0.29622665]), array([-0.98682913,  0.15078749, -0.05857818])]"
97,175.201752628,32.3197474832,18.8357909193,55.3718662933,272.331528977,11.0995592924,220,76,148,0.0079391638109,"[55, 'Combined', 898004, array([-4.83242183,  0.77468261, -0.30232119]), array([-0.98682913,  0.15078749, -0.05857818])]"
130,143.792269216,69.2837265302,7.78822561171,15.2199494884,273.981070865,13.7150054688,344,34,62,0.0082252642042,"[55, 'Combined', 1396381, array([-4.85978953,  0.70331019, -0.27671482]), array([-0.98682913,  0.15078749, -0.05857818])]"
90,167.883920354,48.7731351616,13.3608885521,38.3458687911,272.968315248,12.8460545816,212,68,132,0.00828183592367,"[55, 'Combined', 864876, array([-4.85638267,  0.7154265 , -0.3191853 ]), array([-0.98682913,  0.15078749, -0.05857818])]"
