,Strike,Dip,Rake,Misfit,Extra
133,128,16,-4,0.0229308323783,"[535, 'iasp91', 288848, array([ 0.0169156 , -0.52400211, -0.60216012]), array([ 0.        , -0.64981277, -0.76009431])]"
95,60,34,-76,0.0229338910424,"[535, 'iasp91', 136712, array([ 0.02457631, -0.77959022, -0.93212821]), array([ 0.        , -0.64981277, -0.76009431])]"
180,144,78,44,0.0229613475617,"[535, 'iasp91', 327972, array([-0.09091503, -3.60088494, -4.080077  ]), array([ 0.        , -0.64981277, -0.76009431])]"
71,52,44,-90,0.0230158027476,"[535, 'iasp91', 119205, array([ 0.02903897, -1.21920919, -1.47716762]), array([ 0.        , -0.64981277, -0.76009431])]"
140,134,88,40,0.0230221297817,"[535, 'iasp91', 305970, array([-0.08910331, -3.80453473, -4.61165346]), array([ 0.        , -0.64981277, -0.76009431])]"
227,154,20,22,0.0230247075958,"[535, 'iasp91', 347561, array([ 0.02147282, -0.61084417, -0.71973282]), array([ 0.        , -0.64981277, -0.76009431])]"
339,172,54,52,0.0230648795136,"[535, 'iasp91', 389776, array([-0.00818307, -1.78936401, -2.19269611]), array([ 0.        , -0.64981277, -0.76009431])]"
348,174,44,46,0.0231450017934,"[535, 'iasp91', 393773, array([ 0.04203002, -1.38585836, -1.583187  ]), array([ 0.        , -0.64981277, -0.76009431])]"
86,56,40,-86,0.0231584729247,"[535, 'iasp91', 128007, array([ 0.03998874, -1.19188054, -1.41808893]), array([ 0.        , -0.64981277, -0.76009431])]"
126,118,16,-14,0.0232007211574,"[535, 'iasp91', 266343, array([ 0.01673616, -0.50859769, -0.60655869]), array([ 0.        , -0.64981277, -0.76009431])]"
127,120,16,-12,0.0233120670658,"[535, 'iasp91', 270844, array([ 0.01688363, -0.51117418, -0.60975725]), array([ 0.        , -0.64981277, -0.76009431])]"
144,136,86,40,0.023458393495,"[535, 'iasp91', 310370, array([-0.07913539, -3.74893707, -4.56006477]), array([ 0.        , -0.64981277, -0.76009431])]"
216,152,70,42,0.0234805223507,"[535, 'iasp91', 345571, array([-0.01324421, -3.03525034, -3.72271752]), array([ 0.        , -0.64981277, -0.76009431])]"
