,Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Depth,Mod,Normalized
12228,2332,137,46,43,3,310,43,332,4,18,0.032797729,35,NewGudkova,0.403235347
12229,1109,108,43,207,9,308,44,122,10,-176,0.032823863,35,NewGudkova,0.402747842
12230,1324,116,43,211,5,308,45,130,6,-172,0.032846072,35,NewGudkova,0.40233358
12231,419,175,36,71,17,320,47,70,84,-108,0.032940725,35,NewGudkova,0.40056795
12232,2670,69,25,171,23,297,54,358,74,-66,0.032988455,35,NewGudkova,0.399677617
12233,2092,185,31,82,21,323,50,324,24,-26,0.03305625,35,NewGudkova,0.398412991
12234,2404,212,9,117,29,318,58,334,44,-44,0.033057423,35,NewGudkova,0.398391116
12235,1931,149,44,54,5,317,45,320,6,-4,0.033124872,35,NewGudkova,0.397132958
12236,2297,193,28,88,24,324,50,330,28,-26,0.033168922,35,NewGudkova,0.396311256
12237,2247,197,24,95,24,326,54,328,30,-34,0.033181302,35,NewGudkova,0.396080333
12238,1231,118,44,213,5,309,44,126,6,-178,0.033204432,35,NewGudkova,0.395648877
12239,1180,108,43,207,9,308,45,124,10,-174,0.033227192,35,NewGudkova,0.395224321
12240,355,159,42,60,9,319,46,60,88,-100,0.033231099,35,NewGudkova,0.395151429
12241,2171,193,26,91,23,325,53,326,28,-32,0.033322214,35,NewGudkova,0.393451812
12242,800,49,5,142,31,310,58,110,48,-134,0.033324062,35,NewGudkova,0.39341734
12243,2279,154,44,55,7,318,43,330,8,4,0.033343105,35,NewGudkova,0.393062127
12244,1199,89,37,191,14,298,48,124,16,-158,0.033365332,35,NewGudkova,0.392647505
12245,2210,161,43,60,11,318,44,328,12,-2,0.033397841,35,NewGudkova,0.392041092
12246,1035,102,42,203,11,306,44,120,12,-174,0.033461889,35,NewGudkova,0.390846371
12247,2461,219,4,126,29,317,59,338,48,-48,0.033465692,35,NewGudkova,0.390775431
12248,2132,159,43,58,11,316,44,326,12,-2,0.033507406,35,NewGudkova,0.389997323
12249,686,219,4,125,33,316,56,102,58,-130,0.033518025,35,NewGudkova,0.389799236
12250,2353,206,18,106,27,325,55,332,36,-38,0.033548374,35,NewGudkova,0.389233111
12251,2252,199,22,98,25,325,55,328,32,-36,0.033563649,35,NewGudkova,0.38894819
